significance_level,var_evt,var_parametric,differences
0.005,3.609819538660649,2.6724632465885105,0.9373562920721383
0.01,2.9768889621951278,2.402942817464138,0.5739461447309897
0.015,2.62423560336212,2.2341343110280465,0.3901012923340734
0.02,2.381580957114889,2.1084479937743295,0.2731329633405597
0.025,2.1975679347608414,2.0071300176207805,0.19043791714006097
0.030000000000000002,2.0498899702390787,1.9216004699493414,0.1282895002897373
0.034999999999999996,1.9268738232862945,1.8471846775967984,0.07968914568949614
0.04,1.8216591677590217,1.7810423560788957,0.040616811680125986
0.045,1.7298787017315829,1.721313089630867,0.008565612100715825
0.049999999999999996,1.6485842219125073,1.666709173607358,-0.018124951694850733
0.055,1.5756939354973059,1.6163007944670216,-0.04060685896971572
0.06,1.5096845104390957,1.5693936779264661,-0.05970916748737043
0.065,1.4494085168770154,1.525455113282875,-0.07604659640585965
