Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-15 00:00:00-04:00,2.5999999046325684,2.5999999046325684,2.119999885559082,2.240000009536743,16936600,0.0,0.0
2023-08-16 00:00:00-04:00,2.2899999618530273,2.5,2.0199999809265137,2.0899999141693115,11280300,0.0,0.0
2023-08-17 00:00:00-04:00,2.049999952316284,2.0899999141693115,1.7999999523162842,1.9700000286102295,8882800,0.0,0.0
2023-08-18 00:00:00-04:00,1.8700000047683716,2.0899999141693115,1.809999942779541,2.059999942779541,6842200,0.0,0.0
2023-08-21 00:00:00-04:00,2.0399999618530273,2.075000047683716,1.8799999952316284,2.0199999809265137,6960200,0.0,0.0
2023-08-22 00:00:00-04:00,2.1500000953674316,2.1500000953674316,1.8700000047683716,1.9700000286102295,5735800,0.0,0.0
2023-08-23 00:00:00-04:00,1.909999966621399,2.0399999618530273,1.8899999856948853,1.9700000286102295,5855600,0.0,0.0
2023-08-24 00:00:00-04:00,2.069999933242798,2.0799999237060547,1.7400000095367432,1.809999942779541,6979200,0.0,0.0
2023-08-25 00:00:00-04:00,1.809999942779541,1.8300000429153442,1.6799999475479126,1.7400000095367432,4559700,0.0,0.0
2023-08-28 00:00:00-04:00,1.7599999904632568,1.9299999475479126,1.7100000381469727,1.8899999856948853,4775900,0.0,0.0
2023-08-29 00:00:00-04:00,1.8600000143051147,1.9600000381469727,1.7699999809265137,1.8600000143051147,6693800,0.0,0.0
2023-08-30 00:00:00-04:00,1.840000033378601,1.850000023841858,1.7510000467300415,1.7599999904632568,4106600,0.0,0.0
2023-08-31 00:00:00-04:00,1.75,1.8300000429153442,1.75,1.7999999523162842,3141800,0.0,0.0
2023-09-01 00:00:00-04:00,1.7999999523162842,1.8600000143051147,1.7599999904632568,1.840000033378601,2565400,0.0,0.0
2023-09-05 00:00:00-04:00,1.8200000524520874,2.130000114440918,1.7799999713897705,2.0299999713897705,8714700,0.0,0.0
